# version=2025NOV01

Rom;Genre;Year;Manufacturer;System;Clone;AKNF;Buttons;Controls;Mature;Players;Monitor;Slow;Notes
005;Maze / Shooter Small;1981;Sega;Sega G80 raster;no;;1;joystick (4-way);;2P alt;CRT 15kHz;;
11beat;Sports / Soccer;1998;Hudson;Seta Aleck64;no;;9;joystick (analog);;2P sim;CRT 31Khz;;
1941;Shooter / Flying Vertical;1990;Capcom;Capcom CPS-1;no;true;2;joystick (8-way);;2P sim;CRT 15kHz;;
1941j;Shooter / Flying Vertical;1990;Capcom;Capcom CPS-1;yes;;2;joystick (8-way);;2P sim;CRT 15kHz;;
1942;Shooter / Flying Vertical;1984;Capcom;Capcom pre-CPS;no;true;2;joystick (8-way);;2P alt;CRT 15kHz;;
1942a;Shooter / Flying Vertical;1984;Capcom;Capcom pre-CPS;yes;;2;joystick (8-way);;2P alt;CRT 15kHz;;
1942b;Shooter / Flying Vertical;1984;Capcom;Capcom pre-CPS;yes;;2;joystick (8-way);;2P alt;CRT 15kHz;;
1943;Shooter / Flying Vertical;1987;Capcom;Capcom pre-CPS;no;true;2;joystick (8-way);;2P sim;CRT 15kHz;;
1943j;Shooter / Flying Vertical;1987;Capcom;Capcom pre-CPS;yes;;2;joystick (8-way);;2P sim;CRT 15kHz;;
1943kai;Shooter / Flying Vertical;1987;Capcom;Capcom pre-CPS;no;;2;joystick (8-way);;2P sim;CRT 15kHz;;
1943mii;Shooter / Flying Vertical;1987;Capcom;Capcom pre-CPS;no;;2;joystick (8-way);;2P sim;CRT 15kHz;;
1944;Shooter / Flying Vertical;2000;Capcom, supported by Eighting/Raizing;Capcom CPS-2;no;true;2;joystick (8-way);;2P sim;CRT 15kHz;;
1944j;Shooter / Flying Vertical;2000;Capcom, supported by Eighting/Raizing;Capcom CPS-2;yes;;2;joystick (8-way);;2P sim;CRT 15kHz;;
1945kiii;Shooter / Flying Vertical;2000;Oriental;NMK 68000;no;;4;joystick (8-way);;2P sim;CRT 15kHz;;
19xx;Shooter / Flying Vertical;1996;Capcom;Capcom CPS-2;no;true;2;joystick (8-way);;2P sim;CRT 15kHz;;
19xxa;Shooter / Flying Vertical;1996;Capcom;Capcom CPS-2;yes;;2;joystick (8-way);;2P sim;CRT 15kHz;;
19xxh;Shooter / Flying Vertical;1996;Capcom;Capcom CPS-2;yes;;2;joystick (8-way);;2P sim;CRT 15kHz;;
19xxj;Shooter / Flying Vertical;1996;Capcom;Capcom CPS-2;yes;;2;joystick (8-way);;2P sim;CRT 15kHz;;
19xxjr1;Shooter / Flying Vertical;1996;Capcom;Capcom CPS-2;yes;;2;joystick (8-way);;2P sim;CRT 15kHz;;
19yy;;2022;Ichikyu Wai Wai/EKORZ/Elrayzeur;SNK Neo Geo;no;;4;joystick (8-way);;;;;
2020bb;Sports / Baseball;1991;SNK / Pallas;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15kHz;;
2020bba;Sports / Baseball;1991;SNK / Pallas;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15kHz;;
2020bbh;Sports / Baseball;1991;SNK / Pallas;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15kHz;;
280zzzap;Driving / 1st Person;1976;Midway;Midway 8080 B/W;no;;2;paddle;;1P;CRT 15kHz;;
3countb;Sports / Wrestling;1993;SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15kHz;;
3in1semi;MultiGame / Compilation;1997;SemiCom;Kaneko 68000;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
3kokushi;Tabletop / Shanghai * Mature *;1996;Mitchell;Metro 68000;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
3stooges;Shooter / Field;1984;Mylstar;Gottlieb 6502;no;;1;joystick (8-way);;3P sim;CRT 15Khz;;
3wonders;Multiplay / Compilation;1991;Capcom;Capcom CPS-1;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
3wonderu;;1991;Capcom;Capcom CPS-1;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
40love;Sports / Tennis;1984;Taito Corporation;Taito 8-bit;no;;4;joystick (4-way);;2P alt;CRT 15Khz;;
47pie2;;1994;Jaleco;Jaleco Mega System 32;no;;;;;1P;CRT 15Khz;;
47pie2o;;1994;Jaleco;Jaleco Mega System 32;yes;;;;;1P;CRT 15Khz;;
4dwarrio;Shooter / Flying Horizontal;1985;Coreland / Sega;Sega System 1;no;;2;joystick (8-way);;2P alt;CRT 15kHz;;
4enraya;Puzzle / Solved Game;1990;IDSA;Custom Z80;no;;2;joystick (2-way);;2P sim;CRT 15kHz;;
4in1;MultiGame / Compilation;1981;Armenia / Food and Fun;Galaxian Z80;no;;1;joystick (8-way);;2P alt;CRT 15kHz;;
4in1boot;MultiGame / Compilation;1999;bootleg;Kaneko 68000;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
4psimasy;Tabletop / Mahjong * Mature *;1994;SPHINX/AV JAPAN;Nichibutsu Mahjong;no;;;;;1P;CRT 15Khz;;
600;Maze / Collect;1981;Konami;Galaxian Z80;yes;true;1;joystick (8-way);;2P alt;CRT 15Khz;;
64streej;;1991;Jaleco;Jaleco Mega System 1;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
64street;Fighter / 2.5D;1991;Jaleco;Jaleco Mega System 1;no;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
720;Sports / Skateboarding;1986;Atari Games;Atari System 2;no;;2;joystick (analog);;2P alt;CRT 25Khz;;
720g;Sports / Skateboarding;1986;Atari Games;Atari System 2;yes;;2;joystick (analog);;2P alt;CRT 25Khz;;
720gr1;Sports / Skateboarding;1986;Atari Games;Atari System 2;yes;;2;joystick (analog);;2P alt;CRT 25Khz;;
720r1;Sports / Skateboarding;1986;Atari Games;Atari System 2;yes;;2;joystick (analog);;2P alt;CRT 25Khz;;
720r2;Sports / Skateboarding;1986;Atari Games;Atari System 2;yes;;2;joystick (analog);;2P alt;CRT 25Khz;;
720r3;Sports / Skateboarding;1986;Atari Games;Atari System 2;yes;;2;joystick (analog);;2P alt;CRT 25Khz;;
7jigen;Tabletop / Mahjong * Mature *;1990;Dynax;Dynax 68000;no;;;;;1P;CRT 15Khz;;
7toitsu;Tabletop / Mahjong * Mature *;1988;Yuga;Mitchell 68000;yes;;;;;1P;CRT 15Khz;;
800fath;Shooter / Misc. Horizontal;1981;Amenip (US Billiards Inc. license);Konami Scramble;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
88games;Sports / Track & Field;1988;Konami;Konami;no;true;4;;;4P alt / 2P sim;CRT 15kHz;;
8ball;Sports / Pool;1982;Century Electronics;Centuri CVS;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
8ball1;Sports / Pool;1982;Century Electronics;Centuri CVS;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
8ballact;Sports / Pool;1984;Seatongrove Ltd (Magic Eletronics USA licence);Nintendo Donkey Kong hardware;no;;1;joystick (8-way);;2P alt;CRT 15Khz;;
8ballat2;;1984;Seatongrove Ltd (Magic Eletronics USA licence);Nintendo Donkey Kong hardware;yes;;1;joystick (8-way);;2P alt;CRT 15Khz;;
8bpm;Sports / Pool;1985;Seatongrove Ltd (Magic Eletronics USA licence);Namco Pac-Man;yes;;2;joystick (4-way);;2P alt;CRT 15Khz;;
99lstwar;Shooter / Gallery;1985;Proma;Kyugo Z80;yes;;2;joystick (8-way);;2P alt;CRT 15kHz;;
99lstwra;;1985;Proma;Kyugo Z80;yes;;2;joystick (8-way);;2P alt;CRT 15kHz;;
99lstwrk;;1985;Kyugo;Kyugo Z80;yes;;2;joystick (8-way);;2P alt;CRT 15kHz;;
9ballsh2;;1993;E-Scape EnterMedia (Bundra license);Custom gambling hardware;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
9ballsh3;;1993;E-Scape EnterMedia (Bundra license);Custom gambling hardware;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
9ballsht;Sports / Pool;1993;E-Scape EnterMedia (Bundra license);Custom gambling hardware;no;;3;joystick (8-way);;2P alt;CRT 15Khz;;
9ballshtc;Sports / Pool;1993;E-Scape EnterMedia (Bundra license);Custom gambling hardware;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
a51mxr3k;Shooter / Gun;1998;Atari Games;Atari CoJag;yes;;1;lightgun;;2P sim;CRT 15Khz;;
a51site4;Shooter / Gun;1998;Atari Games;Midway MediaGX PC-based;no;;;;;2P sim;CRT 15Khz;;
aafb;Sports / Football;1989;Leland Corp.;Leland;no;;1;joystick (analog);;4P sim;CRT 15Khz;;
aafbb;Sports / Football;1989;Leland Corp.;Leland;yes;;1;joystick (analog);;4P sim;CRT 15Khz;;
aafbc;Sports / Football;1989;Leland Corp.;Leland;yes;;1;joystick (analog);;4P sim;CRT 15Khz;;
aafbd2p;Sports / Football;1989;Leland Corp.;Leland;yes;;1;joystick (analog);;2P sim;CRT 15Khz;;
abaseb;Sports / Baseball;1979;Atari;Atari Football;no;;1;trackball;;2P sim;CRT 15Khz;;
abaseb2;Sports / Baseball;1979;Atari;Atari Football;yes;;1;trackball;;2P sim;CRT 15Khz;;
abattle;Shooter / Gallery;1979;Sidam;Data East 8-bit;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
abattle2;Shooter / Gallery;1979;Sidam;Data East 8-bit;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
abcop;Driving / Motorbike;1990;Sega;Sega X-Board;no;;3;paddle;;1P;CRT 15Khz;;
abscam;Maze / Collect;1981;GL (US Billiards License);Namco Pac-Man;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
abunai;Tabletop / Hanafuda * Mature *;1989;GREEN SOFT;Nichibutsu Mahjong;no;;;;;1P;CRT 15Khz;;
aburner;Shooter / Flying (chase view);1987;Sega;Sega X-Board;yes;true;3;joystick (analog);;1P;CRT 15Khz;;
aburner2;Shooter / Flying (chase view);1987;Sega;Sega X-Board;no;true;3;joystick (analog);;1P;CRT 15Khz;;
ace;Shooter / Field;1976;Allied Leisure;Allied Leisure 6502;no;;1;joystick (8-way);;2P sim;CRT 15Khz;;
aceattac;Sports / Volleyball;1988;Sega;Sega System 16B;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
acedrvrw;;1994;Namco;Namco System 22;no;;1;paddle;;1P;CRT 31Khz;;
acitya;Gambling / Cards;1983;Epos Corporation;Namco Pac-Man;yes;;6;;;2P alt;CRT 15Khz;;
acombat;Shooter / Gallery;1979;bootleg;Data East 8-bit;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
